sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG01122	GenomeGuard	58.292	475.7	20	22
HG01124	GenomeGuard	53.691	476.7	20	22
HG01125	GenomeGuard	70.386	477.2	20	22
HG01126	GenomeGuard	70.624	475.7	20	22
HG01130	GenomeGuard	83.309	476.5	20	22
HG01131	GenomeGuard	68.234	477.8	20	22
HG01133	GenomeGuard	70.443	477.1	20	22
HG01134	GenomeGuard	71.103	477.7	20	22
HG01135	GenomeGuard	71.898	475.7	20	22
HG01136	GenomeGuard	70.254	477.0	20	22
HG01137	GenomeGuard	73.071	476.1	20	22
HG01138	GenomeGuard	68.907	476.7	20	22
HG01139	GenomeGuard	73.715	476.7	20	22
HG01140	GenomeGuard	57.093	476.3	20	22
HG01141	GenomeGuard	66.567	476.7	20	22
HG01142	GenomeGuard	69.469	475.4	20	22
HG01148	GenomeGuard	74.064	476.0	20	22
HG01149	GenomeGuard	70.399	475.6	20	22
HG01150	GenomeGuard	90.82	475.8	20	22
HG01161	GenomeGuard	72.841	476.5	20	22
HG01162	GenomeGuard	65.444	475.7	20	22
HG01164	GenomeGuard	68.319	477.2	20	22
HG01167	GenomeGuard	73.337	476.6	20	22
HG01168	GenomeGuard	75.656	476.0	20	22
HG01169	GenomeGuard	71.738	476.2	20	22
HG01170	GenomeGuard	84.231	477.1	20	22
HG01171	GenomeGuard	75.116	475.5	20	22
HG01172	GenomeGuard	80.413	475.6	20	22
HG01173	GenomeGuard	75.875	476.0	20	22
HG01174	GenomeGuard	69.081	476.8	20	22
HG01175	GenomeGuard	64.571	476.3	20	22
HG01176	GenomeGuard	54.956	475.7	20	22
HG01177	GenomeGuard	68.808	477.3	20	22
HG01178	GenomeGuard	62.311	476.9	20	22
HG01182	GenomeGuard	56.486	477.7	20	22
HG01183	GenomeGuard	65.755	476.2	20	22
HG01184	GenomeGuard	73.055	476.1	20	22
HG01187	GenomeGuard	58.593	476.7	20	22
HG01188	GenomeGuard	59.976	476.7	20	22
HG01189	GenomeGuard	62.379	477.3	20	22
HG01190	GenomeGuard	59.963	475.8	20	22
HG01191	GenomeGuard	59.835	477.3	20	22
HG01192	GenomeGuard	57.541	476.8	20	22
HG01197	GenomeGuard	60.854	476.1	20	22
HG01198	GenomeGuard	58.106	476.0	20	22
HG01199	GenomeGuard	54.171	476.4	20	22
HG01200	GenomeGuard	61.295	475.6	20	22
HG01204	GenomeGuard	60.947	476.6	20	22
HG01205	GenomeGuard	59.048	476.7	20	22
HG01206	GenomeGuard	61.857	476.8	20	22
HG01241	GenomeGuard	58.72	476.3	20	22
HG01242	GenomeGuard	58.889	477.7	20	22
HG01243	GenomeGuard	58.987	477.0	20	22
HG01247	GenomeGuard	57.387	476.7	20	22
HG01248	GenomeGuard	60.532	476.3	20	22
HG01249	GenomeGuard	53.783	476.2	20	22
HG01250	GenomeGuard	55.69	478.0	20	22
HG01251	GenomeGuard	62.042	477.0	20	22
HG01252	GenomeGuard	51.631	477.1	20	22
HG01253	GenomeGuard	60.313	476.6	20	22
HG01254	GenomeGuard	96.97	476.6	20	22
HG01255	GenomeGuard	73.799	476.3	20	22
HG01256	GenomeGuard	53.316	476.1	20	22
HG01257	GenomeGuard	77.104	476.1	20	22
HG01258	GenomeGuard	52.374	476.9	20	22
HG01259	GenomeGuard	76.272	477.0	20	22
HG01260	GenomeGuard	65.869	476.4	20	22
