sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG01305	Aldy	8.1	0	0	0
HG01308	Aldy	8.6	0	2	0
HG01311	Aldy	9.7	0	2	0
HG01312	Aldy	9.0	0	2	0
HG01323	Aldy	8.0	0	2	0
HG01325	Aldy	10.2	0	2	0
HG01326	Aldy	10.2	0	1	0
HG01334	Aldy	10.1	0	1	0
HG01341	Aldy	11.2	0	0	0
HG01342	Aldy	8.9	0	2	0
HG01343	Aldy	10.4	0	3	0
HG01344	Aldy	10.0	0	1	0
HG01345	Aldy	9.6	0	1	0
HG01346	Aldy	8.1	0	1	0
HG01347	Aldy	8.7	0	3	0
HG01348	Aldy	9.4	0	4	0
HG01349	Aldy	9.4	0	3	0
HG01350	Aldy	9.4	0	1	0
HG01351	Aldy	8.8	0	3	0
HG01352	Aldy	8.6	0	3	0
HG01353	Aldy	11.7	0	1	0
HG01354	Aldy	11.1	0	2	0
HG01355	Aldy	12.7	0	2	0
HG01356	Aldy	10.2	0	0	0
HG01357	Aldy	8.3	0	4	0
HG01358	Aldy	9.8	0	3	0
HG01359	Aldy	10.5	0	1	0
HG01360	Aldy	9.1	0	1	0
HG01361	Aldy	7.7	0	2	0
HG01362	Aldy	9.7	0	2	0
HG01363	Aldy	9.8	0	3	0
HG01365	Aldy	8.1	0	1	0
HG01366	Aldy	8.2	0	2	0
HG01367	Aldy	7.4	0	1	0
HG01369	Aldy	4.5	0	0	0
HG01372	Aldy	3.5	0	0	0
HG01374	Aldy	3.5	0	0	0
HG01375	Aldy	3.2	0	0	0
HG01376	Aldy	3.2	0	1	0
HG01377	Aldy	3.1	0	1	0
HG01378	Aldy	0.7	0	0	0
HG01379	Aldy	0.8	0	0	0
HG01383	Aldy	0.4	0	0	0
HG01384	Aldy	0.3	0	0	0
HG01385	Aldy	0.3	0	0	0
HG01389	Aldy	0.3	0	0	0
HG01390	Aldy	0.4	0	0	0
HG01391	Aldy	0.3	0	0	0
HG01392	Aldy	0.8	0	0	0
HG01393	Aldy	0.5	0	0	0
HG01395	Aldy	0.3	0	0	0
HG01396	Aldy	0.3	0	0	0
HG01398	Aldy	0.3	0	0	0
HG01402	Aldy	0.2	0	0	0
HG01403	Aldy	0.2	0	0	0
HG01405	Aldy	0.3	0	0	0
HG01412	Aldy	0.3	0	0	0
HG01413	Aldy	0.2	0	0	0
HG01414	Aldy	0.2	0	0	0
HG01431	Aldy	0.2	0	0	0
HG01432	Aldy	0.2	0	0	0
HG01433	Aldy	0.2	0	0	0
HG01435	Aldy	0.4	0	0	0
HG01437	Aldy	0.5	0	0	0
HG01438	Aldy	0.5	0	0	0
HG01439	Aldy	0.5	0	0	0
HG01440	Aldy	0.5	0	0	0
HG01441	Aldy	0.5	0	0	0
HG01443	Aldy	0.5	0	0	0
HG01444	Aldy	0.5	0	0	0
HG01447	Aldy	0.5	0	0	0
HG01455	Aldy	0.5	0	0	0
HG01456	Aldy	0.5	0	0	0
HG01457	Aldy	0.5	0	0	0
HG01459	Aldy	0.5	0	0	0
HG01461	Aldy	0.5	0	0	0
HG01462	Aldy	0.5	0	0	0
HG01463	Aldy	0.5	0	0	0
HG01464	Aldy	0.4	0	0	0
HG01465	Aldy	0.7	0	0	0
HG01466	Aldy	0.9	0	0	0
HG01468	Aldy	0.3	0	0	0
HG01474	Aldy	0.2	0	0	0
HG01479	Aldy	0.3	0	0	0
HG01485	Aldy	0.2	0	0	0
HG01486	Aldy	0.2	0	0	0
HG01488	Aldy	0.2	0	0	0
HG01489	Aldy	0.8	0	0	0
HG01490	Aldy	0.4	0	0	0
HG01491	Aldy	0.4	0	0	0
HG01492	Aldy	0.6	0	0	0
HG01493	Aldy	0.3	0	0	0
HG01494	Aldy	0.3	0	0	0
HG01495	Aldy	0.5	0	0	0
HG01496	Aldy	0.6	0	0	0
HG01497	Aldy	0.5	0	0	0
HG01498	Aldy	0.5	0	0	0
HG01499	Aldy	0.5	0	0	0
HG01500	Aldy	0.5	0	0	0
HG01501	Aldy	0.5	0	0	0
HG01502	Aldy	0.5	0	0	0
HG01503	Aldy	0.5	0	0	0
HG01504	Aldy	0.5	0	0	0
HG01505	Aldy	0.5	0	0	0
HG01506	Aldy	0.5	0	0	0
HG01507	Aldy	0.5	0	0	0
HG01508	Aldy	0.5	0	0	0
HG01509	Aldy	0.5	0	0	0
HG01510	Aldy	0.5	0	0	0
HG01511	Aldy	0.5	0	0	0
HG01512	Aldy	0.7	0	0	0
HG01513	Aldy	0.3	0	0	0
HG01514	Aldy	0.3	0	0	0
HG01515	Aldy	0.3	0	0	0
HG01516	Aldy	0.2	0	0	0
HG01517	Aldy	0.2	0	0	0
HG01518	Aldy	0.6	0	0	0
HG01519	Aldy	0.8	0	0	0
HG01520	Aldy	1.3	0	0	0
HG01521	Aldy	1.4	0	0	0
HG01522	Aldy	0.7	0	0	0
HG01523	Aldy	0.7	0	0	0
HG01524	Aldy	0.7	0	0	0
HG01525	Aldy	0.7	0	0	0
HG01526	Aldy	0.7	0	0	0
HG01527	Aldy	0.7	0	0	0
HG01528	Aldy	0.7	0	0	0
HG01529	Aldy	0.7	0	0	0
HG01530	Aldy	0.7	0	0	0
HG01531	Aldy	0.7	0	0	0
HG01532	Aldy	0.7	0	0	0
HG01536	Aldy	0.7	0	0	0
HG01537	Aldy	0.7	0	0	0
HG01538	Aldy	0.6	0	0	0
HG01550	Aldy	1.7	0	0	0
HG01551	Aldy	1.2	0	0	0
HG01552	Aldy	1.1	0	0	0
HG01556	Aldy	1.1	0	0	0
HG01565	Aldy	1.1	0	0	0
HG01566	Aldy	1.0	0	0	0
HG01567	Aldy	1.0	0	0	0
HG01571	Aldy	1.0	0	0	0
HG01572	Aldy	0.9	0	0	0
HG01573	Aldy	1.0	0	0	0
HG01577	Aldy	0.9	0	0	0
HG01578	Aldy	1.0	0	0	0
HG01579	Aldy	0.9	0	0	0
